level,CEFR,主題,english_word,KK音標,中譯,例句,翻譯,例句2,翻譯2,Year_1,Part_1,Source_1,詞性,詞性變化,片語,同義字,反義字,易混淆字,字首,字尾,字根,意思,例子
1,A2,氣候,air,/ɛr/,(n.) 空氣；空中,The air quality in the city has improved greatly this year.,今年城市的空氣品質改善了很多。,"Some hotels may not provide air conditioning in the capsules, leading to poor air flow.",有些旅館可能不在膠囊內提供空調，導致空氣流通不佳。,114學測,篇章結構,Passage for Q31-34,名詞,名詞: 不可數,in the air; on the air; put on airs,atmosphere (n.); sky (n.); breeze (n.),vacuum (n.); airlessness (n.),heir (n.); err (v.),,,,,
1,B1,氣候,blow,/blo/,(v.) 吹；吹動,The wind began to blow strongly as the storm approached.,隨著暴風雨接近，風開始猛烈地吹。,,,,,,動詞,動詞: 過去式: blew; 過去分詞: blown; 現在分詞: blowing; 第三人稱: blows,blow up; blow out; blow away; blow over,gust (v./n.); blast (v./n.); exhale (v.),inhale (v.); suck in (v.),below (adv./prep.); glow (v./n.),,,,,
1,A2,氣候,cloud,/klaʊd/,(n.) 雲,"The sky was full of dark clouds, signaling a storm.",天空布滿了烏雲，預示著一場暴風雨。,A storm cloud “chased” him until he was struck.,一片暴風雲「追」著他，直到他被擊中。,110學測,綜合測驗,Passage for 21-25,名詞,名詞: 可數；複數: clouds,cloud over; under a cloud,overcast (adj./n.); mist (n.); vapor (n.),clear sky (n.); sunshine (n.),crowd (n.); clod (n.),,,,,
1,B1,氣候,earth,/ɝθ/,(n.) 地球；土地；泥土,"The Earth revolves around the sun, taking about 365 days.",地球繞著太陽轉，大約需要365天。,"When on Earth, we have more fluids in our lower body because they are pulled down by Earth's gravity.",在地球上時，我們的下半身有更多的體液，因為它們被地球的重力向下拉。,112學測,綜合測驗,Passage for 16-20,名詞,名詞: 不可數,on earth; down to earth,world (n.); globe (n.); soil (n.),space (n.); sky (n.),birth (n.); worth (n.),,,,,
1,A2,氣候,fall,/fɔl/,(n./v.) 秋天 (美式)；跌倒；落下,Be careful not to fall on the icy ground.,小心不要在結冰的地面上跌倒。,"But baby elephants, not used to negotiating rough ground, may easily fall into the trenches and get hurt; and once injured, they might not be able to climb out.",但小象不習慣崎嶇不平的地面，很容易掉入溝渠中受傷；一旦受傷，牠們可能無法爬出來。,112學測,閱讀測驗-文本,Passage for 39-42,名詞；動詞,"名詞: 可數；複數: falls
動詞: 過去式: fell; 過去分詞: fallen; 現在分詞: falling; 第三人稱: falls",fall down; fall behind; fall asleep; fall in love; fall apart,drop (v./n.); descend (v.); plunge (v.),rise (v.); ascend (v.),fail (v.); fell (v.); full (adj.),,,,,
1,B1,氣候,ground,/graʊnd/,(n./v.) 地面；土地；場地,"She dropped her keys, and they fell to the ground with a clatter.",她掉了鑰匙，鑰匙叮噹一聲掉落在地上。,Lisa tumbled onto the ground and injured her ankle while she was playing basketball yesterday.,Lisa 昨天打籃球時跌倒在地，傷到了腳踝。,110學測,詞彙題,Question 8,名詞；動詞,"名詞: 可數；複數: grounds
動詞: 過去式: grounded; 過去分詞: grounded; 現在分詞: grounding; 第三人稱: grounds",on the ground; break ground; gain ground; stand one's ground,earth (n.); soil (n.); land (n.),sky (n.); air (n.),grind (v.); round (adj.),,,,,
1,A2,氣候,ice,/aɪs/,(n.) 冰,Would you like some ice in your drink?,你的飲料裡要加點冰嗎？,"But some mountain ranges of South America, Africa, and Indonesia are also home to glaciers and ice sheets.",但南美洲、非洲和印尼的一些山脈也是冰川和冰蓋的所在地。,110學測,綜合測驗,Passage for 26-30,名詞,名詞: 不可數；較少用複數: ices,break the ice; on ice; on thin ice,frost (n.); glacier (n.); sleet (n.),steam (n.); heat (n.),dice (n.); rice (n.); lice (n.),,,,,
1,A2,氣候,lake,/lek/,(n.) 湖泊,We often go fishing at the beautiful lake near our house.,我們經常到我家附近那個美麗的湖泊釣魚。,"Completely wheelchair-accessible, the park features 25 acres of attractions including rides, playgrounds, a catch-and-release fishing lake, and picnic areas throughout the park.",這座佔地25英畝的公園完全輪椅無障礙，設有遊樂設施、遊樂場、可捕撈放流的釣魚湖以及遍布公園的野餐區。,110學測,閱讀測驗-文本,Passage for 53-56,名詞,名詞: 可數；複數: lakes,,pond (n.); lagoon (n.); reservoir (n.),desert (n.); dry basin (n.),like (v./prep.); late (adj.); make (v.),,,,,
1,B1,氣候,land,/lænd/,(n./v.) 陸地；土地,"After weeks at sea, the sailors were eager to see land again.",在海上待了幾週後，水手們渴望再次看見陸地。,This means that no increased competition arises for the water or land presently used for food production.,這意味著不會增加對目前用於糧食生產的水或土地的競爭。,110學測,閱讀測驗-文本,Passage for 41-44,名詞；動詞,"名詞: 可數；複數: lands
動詞: 過去式: landed; 過去分詞: landed; 現在分詞: landing; 第三人稱: lands",land on; land a job,terrain (n.); ground (n.); earth (n.),sea (n.); ocean (n.),lend (v.); lane (n.); hand (n.),,,,,
1,A2,氣候,mountain,/ˋmaʊntn/,(n.) 山,We climbed to the top of the mountain to enjoy the breathtaking view.,我們爬到了山頂，欣賞令人驚嘆的景色。,"But some mountain ranges of South America, Africa, and Indonesia are also home to glaciers and ice sheets.",但南美洲、非洲和印尼的一些山脈也是冰川和冰蓋的所在地。,110學測,綜合測驗,Passage for 26-30,名詞,名詞: 可數；複數: mountains,make a mountain out of a molehill,peak (n.); summit (n.); ridge (n.),valley (n.); plain (n.),fountain (n.); maintain (v.),,-ain,,person or thing related to (與…相關的人或物),"mountain (山), captain (隊長), fountain (噴泉)"
